time,robot_id,x,y,vx,vy
0.9200,0,11.139933,38.366850,0.674764,0.159347
0.9200,1,11.488592,38.362030,0.670629,0.173722
0.9200,2,11.842542,38.365904,0.674526,0.160202
0.9200,3,12.181346,38.365454,0.674415,0.160597
0.9200,4,12.530293,38.363447,0.672881,0.166014
0.9200,5,113.534191,38.334451,0.672453,-0.167682
0.9200,6,113.185146,38.337120,0.670285,-0.175044
0.9200,7,112.837220,38.336379,0.671293,-0.171653
0.9200,8,112.484754,38.335831,0.672123,-0.168819
0.9200,9,112.130676,38.338115,0.670318,-0.174934
0.9400,0,11.153458,38.369961,0.677704,0.151803
0.9400,1,11.502037,38.365425,0.673829,0.165757
0.9400,2,11.856062,38.369033,0.677481,0.152631
0.9400,3,12.194865,38.368590,0.677378,0.153015
0.9400,4,12.543782,38.366690,0.675941,0.158269
0.9400,5,113.547672,38.331175,0.675534,-0.159933
0.9400,6,113.198584,38.333699,0.673501,-0.167085
0.9400,7,112.850678,38.333025,0.674446,-0.163790
0.9400,8,112.498228,38.332533,0.675225,-0.161037
0.9400,9,112.144114,38.334696,0.673532,-0.166978
0.9600,0,11.167039,38.372922,0.680453,0.144346
0.9600,1,11.515543,38.368661,0.676829,0.157868
0.9600,2,11.869640,38.372010,0.680244,0.145148
0.9600,3,12.208440,38.371575,0.680148,0.145519
0.9600,4,12.557330,38.369779,0.678805,0.150607
0.9600,5,113.561212,38.328054,0.678419,-0.152266
0.9600,6,113.212084,38.330437,0.676516,-0.159201
0.9600,7,112.864196,38.329827,0.677401,-0.156004
0.9600,8,112.511762,38.329389,0.678130,-0.153336
0.9600,9,112.157616,38.331435,0.676544,-0.159098
0.9800,0,11.180674,38.375736,0.683019,0.136994
0.9800,1,11.529108,38.371740,0.679635,0.150074
0.9800,2,11.883271,38.374839,0.682825,0.137769
0.9800,3,12.222069,38.374411,0.682735,0.138128
0.9800,4,12.570933,38.372715,0.681481,0.143046
0.9800,5,113.574807,38.325084,0.681116,-0.144699
0.9800,6,113.225643,38.327331,0.679338,-0.151413
0.9800,7,112.877772,38.326784,0.680165,-0.148317
0.9800,8,112.525352,38.326399,0.680846,-0.145734
0.9800,9,112.171175,38.328331,0.679365,-0.151312
1.0000,0,11.194359,38.378403,0.685412,0.129764
1.0000,1,11.542728,38.374665,0.682257,0.142393
1.0000,2,11.896952,38.377522,0.685231,0.130511
1.0000,3,12.235748,38.377101,0.685147,0.130856
1.0000,4,12.584588,38.375501,0.683979,0.135602
1.0000,5,113.588455,38.322265,0.683635,-0.137249
